filename,width,height,class,xmin,ymin,xmax,ymax
pos_image_000005_531.jpg,640,360,oncoming_car,474,75,636,161
Dec10_177.jpg,640,360,not_coming,93,64,271,183
Dec10_117.jpg,640,360,not_coming,334,93,380,122
pos_image_000004_050.jpg,640,360,not_coming,404,83,484,122
pos_image_000004_050.jpg,640,360,oncoming_car,320,78,375,115
Larkspur_003.jpg,640,360,oncoming_car,353,80,478,172
pos_image_000005_006.jpg,640,360,oncoming_car,220,83,281,119
image_000031_012.jpg,640,360,not_coming,404,75,566,172
image_000031_012.jpg,640,360,oncoming_car,283,87,324,119
pos_image_000005_429.jpg,640,360,not_coming,298,86,320,108
pos_image_000005_429.jpg,640,360,oncoming_car,329,82,359,105
pos_image_000005_429.jpg,640,360,oncoming_car,369,85,411,108
pos_image_000005_429.jpg,640,360,oncoming_car,472,72,589,142
pos_image_000005_472.jpg,640,360,oncoming_car,386,76,461,121
Dec10_081.jpg,640,360,not_coming,189,95,276,154
pos_image_000005_328.jpg,640,360,not_coming,135,80,257,140
pos_image_000005_328.jpg,640,360,oncoming_car,310,50,380,117
pos_image_000005_328.jpg,640,360,oncoming_car,419,80,538,153
image_000012_004.jpg,640,360,not_coming,496,103,570,133
image_000012_004.jpg,640,360,not_coming,380,92,425,123
image_000012_004.jpg,640,360,oncoming_car,315,94,341,117
pos_image_000004_112.jpg,640,360,oncoming_car,320,84,347,105
Dec10_202.jpg,640,360,not_coming,275,96,328,134
Dec10_202.jpg,640,360,not_coming,367,100,405,134
Dec10_356.jpg,640,360,not_coming,358,92,483,175
image_000004_011.jpg,640,360,not_coming,6,98,133,188
image_000004_011.jpg,640,360,not_coming,132,85,210,140
image_000004_011.jpg,640,360,not_coming,467,87,521,119
image_000004_011.jpg,640,360,oncoming_car,304,86,325,101
Dec10_323.jpg,640,360,not_coming,352,89,404,131
pos_image_000005_461.jpg,640,360,oncoming_car,392,85,458,123
Dec10_178.jpg,640,360,not_coming,154,76,292,173
Larkspur6_013.jpg,640,360,not_coming,503,95,617,149
Larkspur6_013.jpg,640,360,not_coming,210,98,293,152
Larkspur6_013.jpg,640,360,oncoming_car,332,97,371,127
image_000052_004.jpg,640,360,oncoming_car,333,97,373,120
Dec10_087.jpg,640,360,not_coming,275,91,318,127
pos_image_000004_118.jpg,640,360,oncoming_car,323,83,350,100
image_000005_001.jpg,640,360,not_coming,437,96,509,122
